128 128 128 128 128 128 128 128 136 128 128 128 128 128 128 128
121 121 121 121 121 121 121 121 136 121 121 121 121 121 129 129
123 124 124 124 124 124 126 126 136 126 126 126 126 167 129 129
123 125 125 125 125 125 127 127 136 154 158 162 166 167 129 129
123 125 125 125 125 125 132 132 137 154 158 162 166 167 129 129
  1  21  41  61  81 101 132 132 138 154 158 162 166 167 129 129
  2  22  42  62  82 102 132 132 139 154 158 162 166 167 129 129
  3  23  43  63  83 103 132 132 140 154 158 162 166 167 129 129
  4  24  44  64  84 104 132 132 141 154 158 162 166 167 129 129
  5  25  45  65  85 105 132 132 142 154 158 162 166 167 129 129
  6  26  46  66  86 106 133 133 143 155 159 163 166 167 129 129
  7  27  47  67  87 107 133 133 144 155 159 163 166 167 129 129
  8  28  48  68  88 108 133 133 145 155 159 163 166 167 129 129
  9  29  49  69  89 109 133 133 146 155 159 163 166 167 129 129
 10  30  50  70  90 110 133 133 147 155 159 163 166 167 129 129
 11  31  51  71  91 111 134 134 148 156 160 164 166 167 129 129
 12  32  52  72  92 112 134 134 149 156 160 164 166 167 129 129
 13  33  53  73  93 113 134 134 150 156 160 164 166 167 129 129
 14  34  54  74  94 114 134 134 150 156 160 164 166 167 129 129
 15  35  55  75  95 115 134 134 151 156 160 164 166 167 129 129
 16  36  56  76  96 116 135 135 151 157 161 165 166 167 129 129
 17  37  57  77  97 117 135 135 152 157 161 165 166 167 129 129
 18  38  58  78  98 118 135 135 152 157 161 165 166 167 129 129
 19  39  59  79  99 119 135 135 153 157 161 165 166 167 129 129
 20  40  60  80 100 120 135 135 153 157 161 165 166 167 129 129
168 169 169 169 169 169 173 173 174 157 161 165 166 167 129 129
168 170 170 170 170 170 173 173 174 157 161 165 166 167 129 129
168 170 170 170 170 170 173 173 174 157 161 165 166 167 129 129
168 171 171 171 171 171 176 176 176 176 176 176 176 176 129 129
168 175 175 175 175 175 177 177 177 177 177 177 166 167 129 129
168 172 172 172 172 172 172 172 172 178 178 178 166 178 129 129
168 179 179 179 179 179 179 179 179 180 180 180 166 180 129 129
168 179 179 179 179 179 179 179 179 180 180 180 166 180 129 129
168 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130
168 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131
